sort_key,arch,backend,build_rev,format,name,platform,type,url,ver,ver_with_build_rev,padding
2020.07.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.07-01-linux-x86_64.tar.gz,2020.07,2020.07-01,
2020.06.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.06-01-win-x86_64.zip,2020.06,2020.06-01,
2020.06.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.06-01-macos-x86_64.tar.gz,2020.06,2020.06-01,
2020.06.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.06-01-linux-x86_64.tar.gz,2020.06,2020.06-01,
2020.05.11-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.05.1-01-win-x86_64.zip,2020.05.1,2020.05.1-01,
2020.05.11-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.05.1-01-macos-x86_64.tar.gz,2020.05.1,2020.05.1-01,
2020.05.11-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.05.1-01-linux-x86_64.tar.gz,2020.05.1,2020.05.1-01,
2020.02.12-win-x86_64,x86_64,moar,2,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.02.1-02-win-x86_64.zip,2020.02.1,2020.02.1-02,
2020.02.11-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.02.1-01-win-x86_64.zip,2020.02.1,2020.02.1-01,
2020.02.11-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.02.1-01-macos-x86_64.tar.gz,2020.02.1,2020.02.1-01,
2020.02.11-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.02.1-01-linux-x86_64.tar.gz,2020.02.1,2020.02.1-01,
2020.01.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.01-01-win-x86_64.zip,2020.01,2020.01-01,
2020.01.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.01-01-macos-x86_64.tar.gz,2020.01,2020.01-01,
2020.01.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2020.01-01-linux-x86_64.tar.gz,2020.01,2020.01-01,
2019.11.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2019.11-01-win-x86_64.zip,2019.11,2019.11-01,
2019.11.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2019.11-01-macos-x86_64.tar.gz,2019.11,2019.11-01,
2019.11.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2019.11-01-linux-x86_64.tar.gz,2019.11,2019.11-01,
