sort_key,arch,backend,build_rev,format,name,platform,type,url,ver,ver_with_build_rev,padding
2023.10.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.10-01-linux-x86_64-gcc.tar.gz,2023.10,2023.10-01,
2023.09.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.09-01-win-x86_64-msvc.zip,2023.09,2023.09-01,
2023.09.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.09-01-macos-x86_64-clang.tar.gz,2023.09,2023.09-01,
2023.09.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.09-01-macos-arm64-clang.tar.gz,2023.09,2023.09-01,
2023.09.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.09-01-linux-x86_64-gcc.tar.gz,2023.09,2023.09-01,
2023.08.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.08-01-win-x86_64-msvc.zip,2023.08,2023.08-01,
2023.08.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.08-01-macos-x86_64-clang.tar.gz,2023.08,2023.08-01,
2023.08.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.08-01-macos-arm64-clang.tar.gz,2023.08,2023.08-01,
2023.08.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.08-01-linux-x86_64-gcc.tar.gz,2023.08,2023.08-01,
2023.06.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.06-01-win-x86_64-msvc.zip,2023.06,2023.06-01,
2023.06.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.06-01-macos-x86_64-clang.tar.gz,2023.06,2023.06-01,
2023.06.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.06-01-macos-arm64-clang.tar.gz,2023.06,2023.06-01,
2023.06.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.06-01-linux-x86_64-gcc.tar.gz,2023.06,2023.06-01,
2023.04.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.04-01-win-x86_64-msvc.zip,2023.04,2023.04-01,
2023.04.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.04-01-macos-x86_64-clang.tar.gz,2023.04,2023.04-01,
2023.04.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.04-01-macos-arm64-clang.tar.gz,2023.04,2023.04-01,
2023.04.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.04-01-linux-x86_64-gcc.tar.gz,2023.04,2023.04-01,
2023.02.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.02-01-win-x86_64-msvc.zip,2023.02,2023.02-01,
2023.02.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.02-01-macos-x86_64-clang.tar.gz,2023.02,2023.02-01,
2023.02.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.02-01-macos-arm64-clang.tar.gz,2023.02,2023.02-01,
2023.02.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2023.02-01-linux-x86_64-gcc.tar.gz,2023.02,2023.02-01,
2022.12.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.12-01-win-x86_64-msvc.zip,2022.12,2022.12-01,
2022.12.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.12-01-macos-x86_64-clang.tar.gz,2022.12,2022.12-01,
2022.12.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.12-01-macos-arm64-clang.tar.gz,2022.12,2022.12-01,
2022.12.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.12-01-linux-x86_64-gcc.tar.gz,2022.12,2022.12-01,
2022.07.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.07-01-win-x86_64-msvc.zip,2022.07,2022.07-01,
2022.07.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.07-01-macos-x86_64-clang.tar.gz,2022.07,2022.07-01,
2022.07.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.07-01-macos-arm64-clang.tar.gz,2022.07,2022.07-01,
2022.07.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.07-01-linux-x86_64-gcc.tar.gz,2022.07,2022.07-01,
2022.06.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.06-01-win-x86_64-msvc.zip,2022.06,2022.06-01,
2022.06.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.06-01-macos-x86_64-clang.tar.gz,2022.06,2022.06-01,
2022.06.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.06-01-macos-arm64-clang.tar.gz,2022.06,2022.06-01,
2022.06.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.06-01-linux-x86_64-gcc.tar.gz,2022.06,2022.06-01,
2022.04.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.04-01-win-x86_64-msvc.zip,2022.04,2022.04-01,
2022.04.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.04-01-macos-x86_64-clang.tar.gz,2022.04,2022.04-01,
2022.04.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.04-01-macos-arm64-clang.tar.gz,2022.04,2022.04-01,
2022.04.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.04-01-linux-x86_64-gcc.tar.gz,2022.04,2022.04-01,
2022.03.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.03-01-win-x86_64-msvc.zip,2022.03,2022.03-01,
2022.03.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.03-01-macos-x86_64-clang.tar.gz,2022.03,2022.03-01,
2022.03.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.03-01-macos-arm64-clang.tar.gz,2022.03,2022.03-01,
2022.03.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.03-01-linux-x86_64-gcc.tar.gz,2022.03,2022.03-01,
2022.02.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.02-01-win-x86_64-msvc.zip,2022.02,2022.02-01,
2022.02.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.02-01-macos-x86_64-clang.tar.gz,2022.02,2022.02-01,
2022.02.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.02-01-macos-arm64-clang.tar.gz,2022.02,2022.02-01,
2022.02.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2022.02-01-linux-x86_64-gcc.tar.gz,2022.02,2022.02-01,
2021.12.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.12-01-win-x86_64-msvc.zip,2021.12,2021.12-01,
2021.12.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.12-01-macos-x86_64-clang.tar.gz,2021.12,2021.12-01,
2021.12.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.12-01-macos-arm64-clang.tar.gz,2021.12,2021.12-01,
2021.12.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.12-01-linux-x86_64-gcc.tar.gz,2021.12,2021.12-01,
2021.10.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.10-01-win-x86_64-msvc.zip,2021.10,2021.10-01,
2021.10.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.10-01-macos-x86_64-clang.tar.gz,2021.10,2021.10-01,
2021.10.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.10-01-macos-arm64-clang.tar.gz,2021.10,2021.10-01,
2021.10.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.10-01-linux-x86_64-gcc.tar.gz,2021.10,2021.10-01,
2021.09.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.09-01-win-x86_64-msvc.zip,2021.09,2021.09-01,
2021.09.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.09-01-macos-x86_64-clang.tar.gz,2021.09,2021.09-01,
2021.09.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.09-01-macos-arm64-clang.tar.gz,2021.09,2021.09-01,
2021.09.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.09-01-linux-x86_64-gcc.tar.gz,2021.09,2021.09-01,
2021.08.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.08-01-win-x86_64-msvc.zip,2021.08,2021.08-01,
2021.08.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.08-01-macos-x86_64-clang.tar.gz,2021.08,2021.08-01,
2021.08.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.08-01-macos-arm64-clang.tar.gz,2021.08,2021.08-01,
2021.08.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.08-01-linux-x86_64-gcc.tar.gz,2021.08,2021.08-01,
2021.07.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.07-01-win-x86_64-msvc.zip,2021.07,2021.07-01,
